Drop,Horizontal_Break,Induced_Vertical_Break,Pitch_Type,Pitch_Vel,In_Play,Spin,sword_num,batters::k_percent,batters::bb_percent,batters::woba,batters::xwoba,batters::sweet_spot_percent,batters::barrel_batted_rate,batters::hard_hit_percent,batters::avg_best_speed,batters::avg_hyper_speed,batters::whiff_percent,batters::swing_percent
29,9,12,Splitter,81.3,0,1024,0,24.8,6.6,.309,.304,31.7,9.9,49.7,102.036574,95.660117,27.2,50.8
29,12,12,Splitter,82.3,1,1061,0,,,,,,,,,,,
14,5,18,4-Seam Fastball,92.7,0,2317,0,,,,,,,,,,,
19,14,14,Sinker,91.8,0,2147,0,,,,,,,,,,,
12,8,19,4-Seam Fastball,94.0,1,2364,0,,,,,,,,,,,
32,5,4,Cutter,87.5,0,2535,0,,,,,,,,,,,
17,16,15,Sinker,94.4,0,2268,0,,,,,,,,,,,
18,18,13,Sinker,94.6,0,2238,0,,,,,,,,,,,
15,14,16,Sinker,94.5,0,2225,0,,,,,,,,,,,
12,9,19,4-Seam Fastball,94.1,0,2410,0,,,,,,,,,,,
13,10,19,4-Seam Fastball,93.9,1,2387,0,15.2,9.1,.327,.336,35.7,8.5,42,99.573175586,94.053491396,19.7,47.9
37,16,-2,Changeup,89.1,1,1802,0,23.2,5.2,.313,.341,36.9,10.8,45.3,101.337435149,94.95967995,26.2,51.4
43,19,-2,Sweeper,82.5,0,3141,0,23.2,5.2,.313,.341,36.9,10.8,45.3,101.337435149,94.95967995,26.2,51.4
14,7,17,4-Seam Fastball,93.8,0,2766,0,23.2,5.2,.313,.341,36.9,10.8,45.3,101.337435149,94.95967995,26.2,51.4
28,16,3,Sinker,94.3,0,2567,0,,,,,,,,,,,
14,8,17,4-Seam Fastball,95.0,0,2759,0,,,,,,,,,,,
15,8,15,4-Seam Fastball,95.1,0,2720,0,,,,,,,,,,,
30,17,2,Sinker,93.9,0,2557,0,,,,,,,,,,,
16,7,16,4-Seam Fastball,92.8,1,2699,0,,,,,,,,,,,
17,9,15,4-Seam Fastball,92.3,0,2593,0,,,,,,,,,,,
41,18,1,Sweeper,81.7,0,3029,0,,,,,,,,,,,
57,12,-13,Curveball,79.2,0,2864,0,,,,,,,,,,,
15,7,17,4-Seam Fastball,92.9,0,2647,0,,,,,,,,,,,
